时间,BL,Market
2018-07-16,107.11970291940465,102.79466875202239
2018-07-17,107.02773610119536,102.40212398890276
2018-07-18,107.03672457973357,102.15107325371963
2018-07-19,107.05964332435336,101.76631452193025
2018-07-20,107.19336137295747,102.59207303189206
2018-07-23,107.2436974942179,103.17536519819228
2018-07-24,107.53784559133139,104.62517134190894
2018-07-25,107.71152105370734,104.80377940964208
2018-07-26,107.73924978270186,104.39382086102387
2018-07-27,107.76458890946617,104.19440091732753
2018-07-30,107.75328342433652,103.82810790525399
2018-07-31,107.92475398623924,103.97901473102951
2018-08-01,107.71445394147214,102.68931542333155
2018-08-02,107.48009098553621,101.24422430805392
2018-08-03,107.39501557629995,100.48366365332959
2018-08-06,107.46800288244143,99.54957430532963
2018-08-07,107.93348022402054,101.4890209567448
2018-08-08,107.97730853186616,100.9599406274341
2018-08-09,108.12989132215725,102.23304381394411
2018-08-10,108.08022615629649,102.27853801954785
2018-08-13,107.92958147532975,102.1737419562995
2018-08-14,107.8751147799786,102.00576797490304
2018-08-15,107.53577868605568,100.39114630882679
2018-08-16,107.37031998605924,99.84934919361514
2018-08-17,107.06004766466657,98.712346405318
2018-08-20,107.19287473180108,99.444044459008
2018-08-21,107.43795723030112,100.54179363423597
2018-08-22,107.43215381671772,100.06351739174406
2018-08-23,107.46475674824181,100.24654143006104
2018-08-24,107.48448381560125,100.13642612194063
2018-08-27,107.80166438322286,101.65732884036174
2018-08-28,107.81170686231593,101.69726194128927
2018-08-29,107.73798756955941,101.33643970601001
2018-08-30,107.64510102564569,100.45982062782987
2018-08-31,107.56727607863195,99.89111434912792
2018-09-03,107.48844187334899,99.61877117186914
2018-09-04,107.63895890637487,100.2982987902489
2018-09-05,107.48313267029023,99.27093547610399
2018-09-06,107.56535131717224,99.16418248938244
2018-09-07,107.65697862418318,99.52429970482555
2018-09-10,107.47199826199298,98.42511822516003
2018-09-11,107.52182345471746,98.42993436617692
2018-09-12,107.32047053553555,97.94089762665696
2018-09-13,107.45956905202544,98.68839879209528
2018-09-14,107.51641169090236,98.62201430420427
2018-09-17,107.36862844606736,97.6130151464937
2018-09-18,107.53965704939921,98.79308081988924
2018-09-19,107.78768211930243,99.76612807065028
